               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055837,            0.026394,            0.025564,             0.61952,             0.44439,             0.43062,             0.21046,            0.016062,            0.010675,           0.0092215,            0.070455,           0.0032828,           0.0032828
                   1,            0.039161,            0.016374,            0.016314,             0.37635,             0.77867,             0.52125,             0.28383,            0.020478,           0.0061147,            0.003053,            0.040236,           0.0063978,           0.0063978
                   2,            0.034789,            0.013694,            0.012414,             0.68046,             0.80698,             0.78729,             0.39282,            0.013974,           0.0060554,           0.0029061,           0.0097979,           0.0092928,           0.0092928
                   3,            0.032024,            0.013271,            0.011073,             0.69171,             0.78862,             0.90106,             0.48739,            0.011875,           0.0056244,           0.0061468,             0.00901,             0.00901,             0.00901
                   4,            0.031017,            0.013152,            0.010152,             0.52752,             0.73256,             0.58265,             0.26367,            0.014862,           0.0060492,           0.0031557,             0.00901,             0.00901,             0.00901
                   5,            0.030296,            0.012909,           0.0096235,             0.90088,             0.86592,             0.90925,             0.53979,           0.0097075,           0.0037598,           0.0030003,             0.00868,             0.00868,             0.00868
                   6,            0.026011,            0.012163,            0.010646,             0.60876,             0.70256,             0.83989,             0.49342,           0.0095484,           0.0048584,           0.0037736,             0.00835,             0.00835,             0.00835
                   7,            0.025472,            0.012331,           0.0079804,             0.93936,             0.92567,             0.94083,             0.60635,           0.0089484,           0.0034737,           0.0019894,             0.00802,             0.00802,             0.00802
                   8,            0.024962,            0.012373,           0.0089604,             0.89484,             0.94242,             0.97207,             0.64715,           0.0070299,           0.0034161,           0.0023533,             0.00769,             0.00769,             0.00769
                   9,            0.021749,            0.011554,           0.0064687,             0.94818,             0.95098,             0.96602,             0.68981,           0.0075295,           0.0032816,           0.0011013,             0.00736,             0.00736,             0.00736
                  10,            0.022328,            0.011365,           0.0070836,             0.94617,             0.96706,             0.96574,             0.69664,            0.007779,           0.0030432,            0.001191,             0.00703,             0.00703,             0.00703
                  11,            0.023499,            0.011258,           0.0066007,             0.96866,             0.96983,             0.96359,             0.65089,           0.0071768,           0.0031054,          0.00097374,              0.0067,              0.0067,              0.0067
                  12,            0.019482,            0.011337,           0.0055336,             0.95246,             0.96374,             0.96409,             0.76055,           0.0058849,           0.0027915,           0.0011712,             0.00637,             0.00637,             0.00637
                  13,            0.021602,            0.011132,            0.005289,             0.96699,             0.97288,             0.97373,             0.68731,           0.0070019,           0.0029145,          0.00073587,             0.00604,             0.00604,             0.00604
                  14,            0.020315,             0.01098,           0.0055112,             0.76826,             0.89173,             0.94332,             0.69272,           0.0064806,           0.0028416,            0.003919,             0.00571,             0.00571,             0.00571
                  15,            0.020258,            0.010803,           0.0060369,             0.96032,              0.9523,             0.97172,             0.72592,           0.0062695,           0.0028358,           0.0010614,             0.00538,             0.00538,             0.00538
                  16,            0.019147,            0.010983,           0.0081233,             0.96072,             0.97675,             0.97502,             0.75742,           0.0054342,           0.0028231,           0.0006639,             0.00505,             0.00505,             0.00505
                  17,            0.017102,             0.01068,           0.0045259,             0.96817,             0.96824,             0.97225,             0.75462,           0.0054371,           0.0027787,          0.00056007,             0.00472,             0.00472,             0.00472
                  18,            0.015706,            0.010705,           0.0036376,             0.96262,             0.97586,             0.98016,             0.76791,           0.0055159,           0.0027308,          0.00065248,             0.00439,             0.00439,             0.00439
                  19,             0.01796,            0.010171,           0.0038818,             0.96199,             0.97603,             0.97335,             0.74824,            0.005618,           0.0026835,          0.00076883,             0.00406,             0.00406,             0.00406
                  20,            0.016659,            0.010859,           0.0038174,             0.97432,             0.97766,             0.97579,             0.76169,           0.0054874,           0.0026887,          0.00048856,             0.00373,             0.00373,             0.00373
                  21,            0.016195,           0.0098804,           0.0049284,             0.96879,             0.97358,             0.98185,             0.75838,           0.0057301,           0.0026153,          0.00061933,              0.0034,              0.0034,              0.0034
                  22,            0.018206,            0.010455,           0.0041443,             0.96915,             0.96669,             0.97023,             0.75221,           0.0054013,           0.0025843,            0.000714,             0.00307,             0.00307,             0.00307
                  23,            0.016427,            0.010345,           0.0029908,             0.97273,             0.97308,             0.97126,             0.77674,           0.0052734,           0.0026115,          0.00034752,             0.00274,             0.00274,             0.00274
                  24,            0.017079,           0.0097882,           0.0036668,             0.96487,             0.97236,             0.96985,             0.76453,           0.0051524,           0.0025203,          0.00059213,             0.00241,             0.00241,             0.00241
                  25,            0.014521,            0.010092,            0.004987,             0.97184,             0.97483,             0.97012,             0.75587,           0.0051985,           0.0025209,          0.00045643,             0.00208,             0.00208,             0.00208
                  26,            0.016591,           0.0098802,           0.0037848,             0.97453,             0.97496,              0.9695,             0.76387,           0.0050376,           0.0025463,          0.00042971,             0.00175,             0.00175,             0.00175
                  27,            0.016518,           0.0097518,           0.0048825,             0.97382,             0.97493,             0.96728,             0.75899,           0.0050566,            0.002572,          0.00040329,             0.00142,             0.00142,             0.00142
                  28,            0.014683,            0.010256,           0.0036427,             0.97137,             0.97386,             0.97401,             0.78084,           0.0050317,            0.002552,          0.00040587,             0.00109,             0.00109,             0.00109
                  29,            0.016337,            0.010108,           0.0041647,             0.97095,             0.97493,             0.97262,             0.77491,           0.0048977,           0.0025382,          0.00036694,             0.00076,             0.00076,             0.00076
